"INCIDENT NUMBER","CRASH DATE","STREET ADDRESS","CITY","STATE","INTERSECTING STREET","DISTRICT","ZONE","CRASH OCCURRED ON","TYPE OF ROADWAY","ROAD SURFACE","ROADWAY CONDITION","WEATHER CONDITION","LIGHTING CONDITION","INJURY","FATALITY","HIT AND RUN","PEDESTRIAN INVOLVED","TRAIN INVOLVED","INTERSECTION","TOTAL VEHICLES","VEHICLE ALIGNMENT","RELATION TO ROADWAY","MANNER OF COLLISION","PRIMARY FACTOR","SECONDARY FACTOR","LATITUDE","LONGITUDE","GEOMETRY"
"25-220135","2025 Nov 25 01:00:00 AM","55 I-110 HWY","Baton Rouge","LA","GOVERNMENT","10","1A-1","Interstate","ONE-WAY ROAD","Wet",,"Cloudy","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4440328238644","-91.1789734181685","POINT (-91.1789794 30.4440383)"
"25-220105","2025 Nov 25 01:00:00 AM","10100 AIRLINE HWY","Baton Rouge","LA","DAWNADELE","11","3G-4","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Wet",,"Rain","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - right into flow","Movement prior to crash","Violations","30.4192214573791","-91.0719003094166","POINT (-91.0719062 30.4192269)"
"25-219723","2025 Nov 24 01:00:00 AM","6200 ST. GERARD AVE","Baton Rouge","LA","E BROOKSTOWN","5","4F-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","1","Straight","Roadside","Not a collision between two motor vehicles in transport","Movement prior to crash","Not applicable","30.496819931435","-91.1284320281849","POINT (-91.128438 30.4968254)"
"25-219554","2025 Nov 23 01:00:00 AM","2298 74TH AVE","Baton Rouge","LA","PEMBROKE","2","4C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","In parking lane or zone","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.5158174069826","-91.1697436244352","POINT (-91.1697496 30.5158229)"
"25-219682","2025 Nov 23 01:00:00 AM","3800 WYANDOTTE ST","Baton Rouge","LA","N 38TH","7","4G-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4825553295349","-91.1530129785499","POINT (-91.1530189 30.4825608)"
"25-219467","2025 Nov 23 01:00:00 AM","5000 FLORIDA BLVD","Baton Rouge","LA","N FOSTER","6","1C-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","true","2","Straight","On roadway","Front to front - head on","Driver condition","Movement prior to crash","30.4509273446562","-91.1389600047363","POINT (-91.1389659 30.4509328)"
"25-219566","2025 Nov 23 01:00:00 AM","12829 FAIRWOOD CT","Baton Rouge","LA","STONEGATE","8","3E-5","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Not applicable","30.4424769015764","-91.0353527190417","POINT (-91.0353586 30.4424824)"
"25-219617","2025 Nov 23 01:00:00 AM","6409 HARRY DR","Baton Rouge","LA","EXECUTIVE PARK","6","1D-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","false","2","Straight","Off roadway, location unknown","Backing - rear to side","Violations","Movement prior to crash","30.4568990140139","-91.1249253387514","POINT (-91.1249313 30.4569045)"
"25-219546","2025 Nov 23 01:00:00 AM","700 W JOHNSON ST","Baton Rouge","LA","HIGHLAND","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Violations","30.4244827776448","-91.1794488973756","POINT (-91.1794548 30.4244883)"
"25-219610","2025 Nov 23 01:00:00 AM","300 GOVERNMENT ST","Baton Rouge","LA","SAINT LOUIS","10","5A-1","City street","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4433373787446","-91.1874530990372","POINT (-91.187459 30.4433429)"
"25-219071","2025 Nov 22 01:00:00 AM","7310 AIRLINE HWY","Baton Rouge","LA","WINBOURNE","7","1D-3","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.480006530321","-91.1153548152154","POINT (-91.1153607 30.480012)"
"25-219192","2025 Nov 22 01:00:00 AM","1200  FLORIDA ST","Baton Rouge","LA","N 12TH","10","1A-2","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4497111992705","-91.176385254964","POINT (-91.1763912 30.4497167)"
"25-219142","2025 Nov 22 01:00:00 AM","AIRLINE HWY","Baton Rouge","LA","WINBOURNE","5","3A-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4799453652047","-91.1151102910892","POINT (-91.1151162 30.4799509)"
"25-219180","2025 Nov 22 01:00:00 AM","7800 AIRLINE HWY","Baton Rouge","LA","TOM","6","3B-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4689577916971","-91.1072423755278","POINT (-91.1072483 30.4689633)"
"25-219194","2025 Nov 22 01:00:00 AM","3015 MILLERVILLE RD","Baton Rouge","LA","MARWOOD AVENUE/SWEET GUM","8","3F-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Movement prior to crash","Movement prior to crash","30.4319748560459","-91.0245015164347","POINT (-91.0245074 30.4319803)"
"25-219065","2025 Nov 22 01:00:00 AM","5600 FLORIDA BLVD","Baton Rouge","LA","CLOUD","7","1C-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4509735893355","-91.1322294489558","POINT (-91.1322354 30.4509791)"
"25-219352","2025 Nov 22 01:00:00 AM","400 GOVERNMENT ST","Baton Rouge","LA","SAINT FERDINAND","10","5A-1","City street","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","true","2","Straight","On roadway","Angle - left overtake","Violations","Movement prior to crash","30.4433743773706","-91.1864284952323","POINT (-91.1864344 30.4433799)"
"25-219211","2025 Nov 22 01:00:00 AM","109  S INTERSTATE I-110 HWY","Baton Rouge","LA","N 9TH","10","1A-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4558523772715","-91.180655331554","POINT (-91.1806613 30.4558579)"
"25-219099","2025 Nov 22 01:00:00 AM","3900 PROVOST ST","Baton Rouge","LA","N 39TH","7","1C-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Unknown","Movement prior to crash","Movement prior to crash","30.4601696784484","-91.1509870298472","POINT (-91.150993 30.4601752)"
"25-218713","2025 Nov 21 01:00:00 AM","1200 N ARDENWOOD DR","Baton Rouge","LA","RENOIR","6","1C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4609575420279","-91.1277841713198","POINT (-91.1277901 30.460963)"
"25-218933","2025 Nov 21 01:00:00 AM","SOUTH  INTERSTATE 110 HWY","Baton Rouge","LA","HARDING","2","4C-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Curve Right","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.5211904355896","-91.1601532151515","POINT (-91.1601591 30.5211959)"
"25-218836","2025 Nov 21 01:00:00 AM","1500 N FOSTER DR","Baton Rouge","LA","GUS YOUNG","7","1C-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - left across flow","Violations","Movement prior to crash","30.4639393273247","-91.1396528912021","POINT (-91.1396588 30.4639448)"
"25-218764","2025 Nov 21 01:00:00 AM","4400 CHOCTAW DR","Baton Rouge","LA","EATON","7","1C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","true","3","Straight","On roadway","Front to rear - rear end","Violations","Not applicable","30.4704593984708","-91.14580854799","POINT (-91.1458145 30.4704649)"
"25-218727","2025 Nov 21 01:00:00 AM","1500 MAIN ST","Baton Rouge","LA","N 17TH","10","1A-2","City street","ONE-WAY ROAD","Dry",,"Clear","Dark - unknown lighting","1","0","0","0","0","false","1","Straight","Roadside","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4518706403207","-91.1733578846112","POINT (-91.1733638 30.4518761)"
"25-218858","2025 Nov 21 01:00:00 AM","2926 BELLE CHERIE AVE","Baton Rouge","LA","RIVERBEND","3","2C-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Backing - rear to side","Movement prior to crash","Violations","30.3849002701831","-91.1960058301682","POINT (-91.1960118 30.3849057)"
"25-218857","2025 Nov 21 01:00:00 AM","274 I-12 HWY","Baton Rouge","LA","AIRLINE","11","3G-4","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","0","0","0","0","0","false","3","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4233820735628","-91.0756955896287","POINT (-91.0757015 30.4233876)"
"25-218818","2025 Nov 21 01:00:00 AM","35 S INTERSTATE 110 HWY","Baton Rouge","LA","GOVERNMENT ST","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.437843941348","-91.1783700895599","POINT (-91.178376 30.4378494)"
"25-218871","2025 Nov 21 01:00:00 AM","2200 MONTERREY BLVD","Baton Rouge","LA","W DARRYL","6","3B-2","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4702218121259","-91.0846254593447","POINT (-91.0846314 30.4702273)"
"25-218723","2025 Nov 21 01:00:00 AM","SCENIC HWY","Baton Rouge","LA","78TH","2","4C-1","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.5114205137579","-91.1736253787897","POINT (-91.1736313 30.511426)"
"25-218883","2025 Nov 21 01:00:00 AM","9800 AIRLINE HWY","Baton Rouge","LA","GWENADELE","6","3C-3","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4271924540293","-91.0774183391656","POINT (-91.0774242 30.4271979)"
"25-218773","2025 Nov 21 01:00:00 AM","15452 I-10 HWY","Baton Rouge","LA","HIGHLAND/NICHOLSON","10","1A-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4390412234617","-91.1899823762629","POINT (-91.1899883 30.4390467)"
"25-218800","2025 Nov 21 01:00:00 AM","9820 OLD HAMMOND HWY","Baton Rouge","LA","AIRLINE","6","3C-3","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - right across flow","Violations","Not applicable","30.4314334477237","-91.0791349475042","POINT (-91.0791409 30.4314389)"
"25-218682","2025 Nov 21 01:00:00 AM","1334 FLORIDA ST","Baton Rouge","LA","N 13TH","10","1A-1","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Wet",,"Cloudy","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4496531075952","-91.1761610528262","POINT (-91.176167 30.4496586)"
"25-218958","2025 Nov 21 01:00:00 AM","4600 PLANK  RD","Baton Rouge","LA","SHELLY","5","4G-1","Off road/private property","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4919857257956","-91.1562030199998","POINT (-91.1562089 30.4919912)"
"25-218902","2025 Nov 21 01:00:00 AM","4500 PERKINS RD","Baton Rouge","LA","EDINBURGH","12","2B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.415717890306","-91.1414999079092","POINT (-91.1415058 30.4157234)"
"25-218710","2025 Nov 21 01:00:00 AM","3800 N FOSTER DR","Baton Rouge","LA","WINNEBAGO","7","4G-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","0","0","0","0","0","false","2","Curve Left","On roadway","Angle - right across flow","Violations","Movement prior to crash","30.4852847139987","-91.1404003766784","POINT (-91.1404063 30.4852902)"
"25-218817","2025 Nov 21 01:00:00 AM","7400 JEFFERSON HWY","Baton Rouge","LA","LOBDELL","11","3G-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Curve Left","On roadway","Front to rear - rear end","Violations","Violations","30.4335034122307","-91.1111090262156","POINT (-91.1111149 30.4335089)"
"25-218731","2025 Nov 21 01:00:00 AM","9400 FLORIDA BLVD","Baton Rouge","LA","MONTERREY","6","3C-1","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4545985884401","-91.0844664974839","POINT (-91.0844724 30.4546041)"
"25-218774","2025 Nov 21 01:00:00 AM","GLEN OAKS DR","Baton Rouge","LA","WINCHESTER","5","4D-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Backing - rear to side","Violations","Movement prior to crash","30.5113999568846","-91.138263043481","POINT (-91.138269 30.5114055)"
"25-218788","2025 Nov 21 01:00:00 AM","643 S I10 EXT","Rural East Baton Rouge","LA","HARDING","5","4D-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","1","Curve Right","Roadside","Not a collision between two motor vehicles in transport","Movement prior to crash","Violations","30.5024205610956","-91.1303027025271","POINT (-91.1303086 30.5024261)"
"25-218926","2025 Nov 21 01:00:00 AM","5000 FLORIDA BLVD","Baton Rouge","LA","PEACHTREE","7","1C-1","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - not lighted","1","0","0","0","0","true","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4504321208593","-91.1514653392565","POINT (-91.1514713 30.4504376)"
"25-218973","2025 Nov 21 01:00:00 AM","4800 AIRLINE HWY","Baton Rouge","LA","NORTH FOSTER","5","4D-2","US highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.5089273256471","-91.1422483816391","POINT (-91.1422543 30.5089328)"
"25-219174","2025 Nov 21 01:00:00 AM","15832 I-10","Baton Rouge","LA","COLLEGE","7","2B-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","1","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4228021559058","-91.1385291180644","POINT (-91.138535 30.4228076)"
"25-218785","2025 Nov 21 01:00:00 AM","7600 AIRLINE HWY","Baton Rouge","LA","E INDUSTRIAL","6","1D-2","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4749025066904","-91.1116640957507","POINT (-91.11167 30.474908)"
"25-218879","2025 Nov 21 01:00:00 AM","5400 PRESCOTT RD","Baton Rouge","LA","E BROOKSTOWN","7","4G-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - street lights at intersection only","0","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4884492266875","-91.1282482116935","POINT (-91.1282541 30.4884547)"
"25-218811","2025 Nov 21 01:00:00 AM","1644 NICHOLSON","Baton Rouge","LA","MCCLUNG","10","2C-1","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Cloudy","Daylight","1","0","0","0","0","false","1","Straight","Off roadway, location unknown","Not a collision between two motor vehicles in transport","Vehicle condition","Not applicable","30.4317696773981","-91.1880726161979","POINT (-91.1880786 30.4317752)"
"25-218709","2025 Nov 21 01:00:00 AM","5000 WESTDALE DR","Baton Rouge","LA","ROSEMOUNT","7","2A-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Wet",,"Clear","Daylight","0","0","0","0","0","false","1","Straight","On roadway","Not a collision between two motor vehicles in transport","Driver condition","Not applicable","30.4361417688341","-91.1383468822668","POINT (-91.1383528 30.4361473)"
"25-218706","2025 Nov 21 01:00:00 AM","1800 CENTRAL THWY","Baton Rouge","LA","S. CHOCTAW","4","3D-3","City street","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Wet",,"Cloudy","Daylight","0","0","0","0","0","false","1","Curve Left","Roadside","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4735005352789","-91.0123943058519","POINT (-91.0124002 30.473506)"
"25-218938","2025 Nov 21 01:00:00 AM","12099 FLORIDA BLVD","Baton Rouge","LA","SOUTH TAMARI","6","3D-2","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Not applicable","30.4606246573254","-91.0474006078386","POINT (-91.0474065 30.4606301)"
"25-218878","2025 Nov 21 01:00:00 AM","15849 W. I-10","Baton Rouge","LA","COLLEGE","7","2B-2","Interstate","ONE-WAY ROAD","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4216021615094","-91.1278099136156","POINT (-91.1278158 30.4216076)"
"25-218757","2025 Nov 21 01:00:00 AM","4820 PERKINS RD","Baton Rouge","LA","CONG","12","2B-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4136608501445","-91.1367375569188","POINT (-91.1367435 30.4136663)"
"25-218711","2025 Nov 21 01:00:00 AM","1700 S ACADIAN THWY","Baton Rouge","LA","HUNDRED OAKS","7","2B-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Wet",,"Cloudy","Daylight","1","0","0","0","0","false","1","Straight","Median","Not a collision between two motor vehicles in transport","Violations","Road surface","30.4323691285581","-91.1525558962031","POINT (-91.1525618 30.4323746)"
"25-218833","2025 Nov 21 01:00:00 AM","700 ASTER ST","Baton Rouge","LA","IOWA","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.4196429869333","-91.1856474776383","POINT (-91.1856534 30.4196485)"
"25-218569","2025 Nov 20 01:00:00 AM","1600 STANFORD AVE","Baton Rouge","LA","HYACINTH","12","2D-3","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Movement prior to crash","30.4136323103209","-91.1585390270683","POINT (-91.158545 30.4136378)"
"25-218591","2025 Nov 20 01:00:00 AM","786 I-110","Baton Rouge","LA","ROSENWALD","2","4B-2","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dawn/dusk","0","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.5312357663587","-91.1684264339635","POINT (-91.1684324 30.5312413)"
"25-218443","2025 Nov 20 01:00:00 AM","3000 COLLEGE DR","Baton Rouge","LA","CONCORD","7","2B-1","City street","ONE-WAY ROAD","Dry",,"Clear","Daylight","0","0","0","1","0","false","1","Straight","On roadway","Not a collision between two motor vehicles in transport","Violations","Movement prior to crash","30.4189093673869","-91.141600871912","POINT (-91.1416068 30.4189148)"
"25-218368","2025 Nov 20 01:00:00 AM","15835 I-10","Baton Rouge","LA","COLLEGE","7","2B-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4231878083537","-91.1406388962576","POINT (-91.1406448 30.4231933)"
"25-218487","2025 Nov 20 01:00:00 AM","100 STARING LN","Baton Rouge","LA","HIGHLAND","12","2E-4","State highway","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Angle - perpendicular/other angle","Violations","Movement prior to crash","30.369738555514","-91.1225527743482","POINT (-91.1225587 30.369744)"
"25-218555","2025 Nov 20 01:00:00 AM","3100 COLLEGE DR","Baton Rouge","LA","PERKINS","12","2B-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4171449747078","-91.1429011990915","POINT (-91.1429071 30.4171505)"
"25-218546","2025 Nov 20 01:00:00 AM","8500 AIRLINE HWY","Baton Rouge","LA","GREENWELL SPRINGS","6","1D-2","US highway","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","1","0","1","0","0","false","2","Straight","On roadway","Front to rear - rear end","Movement prior to crash","Violations","30.4737908383794","-91.1109427931976","POINT (-91.1109487 30.4737963)"
"25-218466","2025 Nov 20 01:00:00 AM","5000 HENNESSEY BLVD","Baton Rouge","LA","FLANDERS","7","2E-3","Off road/private property","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Cloudy","Daylight","1","0","0","0","0","false","2","Straight","Off roadway, location unknown","Backing - rear to front","Violations","Movement prior to crash","30.4027698982944","-91.1066311822388","POINT (-91.1066371 30.4027754)"
"25-218494","2025 Nov 20 01:00:00 AM","15780 I-10 HWY","Baton Rouge","LA","COLLEGE","7","2B-1","Interstate","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.4235898046655","-91.1455533671341","POINT (-91.1455593 30.4235953)"
"25-218505","2025 Nov 20 01:00:00 AM","HIGHLAND RD","Baton Rouge","LA","EAST I1-","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.418549811759","-91.1767481908132","POINT (-91.1767541 30.4185553)"
"25-218453","2025 Nov 20 01:00:00 AM","384 I-12 HWY","Baton Rouge","LA","S SHERWOOD FOREST","8","3E-2","Interstate","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Curve Right","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.429111557957","-91.0563957475909","POINT (-91.0564016 30.429117)"
"25-218585","2025 Nov 20 01:00:00 AM","15490 I-10 HWY","Baton Rouge","LA","HIGHLAND OFF","10","1A-1","Interstate","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Dark - continuous street lights","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Not applicable","30.4390094048899","-91.1897292650062","POINT (-91.1897352 30.4390149)"
"25-218417","2025 Nov 20 01:00:00 AM","4500 PLANK RD","Baton Rouge","LA","EVANGELINE","5","4G-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Movement prior to crash","30.492425235749","-91.1556342642352","POINT (-91.1556402 30.4924307)"
"25-218419","2025 Nov 20 01:00:00 AM","8000 SCENIC HWY","Baton Rouge","LA","HARDING","2","4C-1","US highway","TWO-WAY ROAD WITH PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","true","2","Straight","On roadway","Angle - left opposite direction","Violations","Not applicable","30.5205046411973","-91.1792231110431","POINT (-91.179229 30.5205101)"
"25-218456","2025 Nov 20 01:00:00 AM","VICTORIA DR","Rural East Baton Rouge","LA","AIRLINE HWY","5","3A-1","Parish road","ONE-WAY ROAD","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Violations","30.4854135703942","-91.1178761996122","POINT (-91.1178821 30.4854191)"
"25-218600","2025 Nov 20 01:00:00 AM","HIGHLAND RD","Baton Rouge","LA","COLLEGE","10","2C-1","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Dark - continuous street lights","0","0","0","0","0","false","2","Straight","On roadway","Angle - left opposite direction","Violations","Violations","30.418549811759","-91.1767481908132","POINT (-91.1767541 30.4185553)"
"25-218468","2025 Nov 20 01:00:00 AM","11800 S CHOCTAW DR","Baton Rouge","LA","DUMONT","6","3D-2","City street","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Sideswipe - same direction","Violations","Movement prior to crash","30.4726039017636","-91.0512086767851","POINT (-91.0512146 30.4726094)"
"25-218385","2025 Nov 20 01:00:00 AM","1000 SHERWOOD FOREST BLVD","Baton Rouge","LA","N/A","6","3E-1","City street","TWO-WAY ROAD WITH A PHYSICAL BARRIER","Dry",,"Clear","Daylight","1","0","0","0","0","false","2","Straight","On roadway","Front to rear - rear end","Violations","Violations","30.4451167983847","-91.0574471795933","POINT (-91.0574531 30.4451223)"
